method,sample_id,seed,budget_fraction,selected_count,pressure_field_relative_l2
uniform,2031,7,0.75,8453,0.005682908990497596
uniform,2031,8,0.375,4227,0.008897092122206997
uniform,2031,8,0.5,5636,0.009118184095111127
uniform,2031,8,0.75,8453,0.002989895762552138
ca,2241,6,0.375,4227,0.004500381242530901
ca,2241,6,0.5,5636,0.0036335341563303414
ca,2241,6,0.75,8453,0.003396268670836173
ca,2241,7,0.375,4227,0.0036307901319096955
ca,2241,7,0.5,5636,0.003880038270109995
ca,2241,7,0.75,8453,0.00387269873463886
ca,2241,8,0.375,4227,0.004035623681285463
ca,2241,8,0.5,5636,0.0034410203806476978
ca,2241,8,0.75,8453,0.003422840810230183
ca,2245,6,0.375,4227,0.0029505942796717788
ca,2245,6,0.5,5636,0.0021994741661010074
ca,2245,6,0.75,8453,0.0021958862569998404
ca,2245,7,0.375,4227,0.002230219733385796
ca,2245,7,0.5,5636,0.001686209254393749
ca,2245,7,0.75,8453,0.0019043888280152286
ca,2245,8,0.375,4227,0.0027750623204083097
ca,2245,8,0.5,5636,0.0024541089027006855
ca,2245,8,0.75,8453,0.0020173608953319828
ca,1741,6,0.375,4227,0.007411362561457967
ca,1741,6,0.5,5636,0.004086502032767228
ca,1741,6,0.75,8453,0.0025927162577000108
ca,1741,7,0.375,4227,0.009950078773778966
ca,1741,7,0.5,5636,0.005108756453378759
ca,1741,7,0.75,8453,0.0028669988736108234
ca,1741,8,0.375,4227,0.010707633789592719
ca,1741,8,0.5,5636,0.005941409437982186
ca,1741,8,0.75,8453,0.002677035719114804
ca,1938,6,0.375,4227,0.005379736290854582
ca,1938,6,0.5,5636,0.00593874941418772
ca,1938,6,0.75,8453,0.0056006866036196305
ca,1938,7,0.375,4227,0.005166670196165199
ca,1938,7,0.5,5636,0.0051435268918429864
ca,1938,7,0.75,8453,0.005302204893216757
ca,1938,8,0.375,4227,0.005254083452746041
ca,1938,8,0.5,5636,0.004392340570009572
ca,1938,8,0.75,8453,0.005098221473506661
ca,1470,6,0.375,4227,0.002827108151350954
ca,1470,6,0.5,5636,0.001800030359012268
ca,1470,6,0.75,8453,0.0016074023469995324
ca,1470,7,0.375,4227,0.002164400993332375
ca,1470,7,0.5,5636,0.0017226024284808829
ca,1470,7,0.75,8453,0.001584119398197129
ca,1470,8,0.375,4227,0.003938088620142347
ca,1470,8,0.5,5636,0.002507080304451689
ca,1470,8,0.75,8453,0.002016594003464425
ca,2016,6,0.375,4227,0.010133716222116798
ca,2016,6,0.5,5636,0.008939707773554932
ca,2016,6,0.75,8453,0.01014749027400809
ca,2016,7,0.375,4227,0.009908048563283662
ca,2016,7,0.5,5636,0.009232292638133691
ca,2016,7,0.75,8453,0.009506150454766127
ca,2016,8,0.375,4227,0.010474502377996058
ca,2016,8,0.5,5636,0.009101410997660049
ca,2016,8,0.75,8453,0.009783794116769697
ca,1360,6,0.375,4227,0.002458709518691922
ca,1360,6,0.5,5636,0.001961638287727851
ca,1360,6,0.75,8453,0.002352654677599272
ca,1360,7,0.375,4227,0.0039023913959117603
ca,1360,7,0.5,5636,0.0036866723212603627
ca,1360,7,0.75,8453,0.0019029647756489423
ca,1360,8,0.375,4227,0.0045304653462717665
ca,1360,8,0.5,5636,0.003400170832029742
ca,1360,8,0.75,8453,0.002420998693604216
ca,1873,6,0.375,4227,0.005915369812159799
ca,1873,6,0.5,5636,0.00426318044121491
ca,1873,6,0.75,8453,0.005133902110846127
ca,1873,7,0.375,4227,0.005147417403596343
ca,1873,7,0.5,5636,0.0047414548869683035
ca,1873,7,0.75,8453,0.005274639045025926
ca,1873,8,0.375,4227,0.006218948266524036
ca,1873,8,0.5,5636,0.004216575217356856
ca,1873,8,0.75,8453,0.004658137995889396
ca,1490,6,0.375,4227,0.006728243685114324
ca,1490,6,0.5,5636,0.005385422938213308
ca,1490,6,0.75,8453,0.0033193751386437985
ca,1490,7,0.375,4227,0.007777335415991482
ca,1490,7,0.5,5636,0.0063359739437667635
ca,1490,7,0.75,8453,0.0033657740308992417
ca,1490,8,0.375,4227,0.005010566293064498
ca,1490,8,0.5,5636,0.004687720182761038
ca,1490,8,0.75,8453,0.003405053236379965
ca,1376,6,0.375,4227,0.00811687024663638
ca,1376,6,0.5,5636,0.007320807120157444
ca,1376,6,0.75,8453,0.006441198516397858
ca,1376,7,0.375,4227,0.00883821378681794
ca,1376,7,0.5,5636,0.008345421509796462
ca,1376,7,0.75,8453,0.00594729130500176
ca,1376,8,0.375,4227,0.00953046266011768
ca,1376,8,0.5,5636,0.006546715846961608
ca,1376,8,0.75,8453,0.006197443047455201
ca,2306,6,0.375,4227,0.005541313519595114
ca,2306,6,0.5,5636,0.004849447119287406
ca,2306,6,0.75,8453,0.004030758746399292
ca,2306,7,0.375,4227,0.006630967106995868
ca,2306,7,0.5,5636,0.005753716074961937
ca,2306,7,0.75,8453,0.0033893840915357803
ca,2306,8,0.375,4227,0.004187647444554249
ca,2306,8,0.5,5636,0.004294599525918517
ca,2306,8,0.75,8453,0.003313930421469155
ca,2238,6,0.375,4227,0.005232693805268353
ca,2238,6,0.5,5636,0.004809749064327164
ca,2238,6,0.75,8453,0.003837165361629357
ca,2238,7,0.375,4227,0.0040902668985558195
ca,2238,7,0.5,5636,0.004175844859227787
ca,2238,7,0.75,8453,0.003885668031758529
ca,2238,8,0.375,4227,0.005783585807984428
ca,2238,8,0.5,5636,0.004644433259716097
ca,2238,8,0.75,8453,0.0038837583836457273
cpg,2241,6,0.375,4227,0.004465058653202833
cpg,2241,6,0.5,5636,0.004143794469119913
cpg,2241,6,0.75,8453,0.0034928240713103602
cpg,2241,7,0.375,4227,0.004025143109916086
cpg,2241,7,0.5,5636,0.003423899143315341
cpg,2241,7,0.75,8453,0.003775837600008232
cpg,2241,8,0.375,4227,0.004946391008583491
cpg,2241,8,0.5,5636,0.003920565591653768
cpg,2241,8,0.75,8453,0.0036759592131057448
cpg,2245,6,0.375,4227,0.0028934502603864417
cpg,2245,6,0.5,5636,0.0023071813246153283
cpg,2245,6,0.75,8453,0.00183542418921323
cpg,2245,7,0.375,4227,0.0021872472044566437
cpg,2245,7,0.5,5636,0.002297315725903119
cpg,2245,7,0.75,8453,0.0019218697887991086
cpg,2245,8,0.375,4227,0.002606406368716232
cpg,2245,8,0.5,5636,0.0019403352064293466
cpg,2245,8,0.75,8453,0.0020205718111219752
cpg,1741,6,0.375,4227,0.011612855911070696
cpg,1741,6,0.5,5636,0.005801700743634762
