benchmark,budget,method,component,n,mean_ms,case_std_ms
darcy,0.375,cpg,gpu_runtime_and_reconstruction_preparation_ms,9,47.48589876625273,0.74272388563289
darcy,0.375,cpg,first_sampled_call_ms,9,1018.7153187063005,380.92081744153245
darcy,0.375,cpg,graph_setup_ms,9,1031.1373348037403,354.1591725298256
darcy,0.375,cpg,first_full_original_after_sampled_ms,9,27.8056338429451,0.3515052784357365
darcy,0.375,cpg,first_full_fast_after_sampled_ms,9,16.86004052559535,28.560197787047183
darcy,0.375,ca,adapter_increment_ms,9,0.18940120935440063,0.010287916439857851
darcy,0.375,ca,case_preparation_ms,9,0.10498447550667657,0.003775310678241709
darcy,0.375,ca,reported_shared_input_preparation_ms,9,96.50316337744395,2.76869805344324
darcy,0.375,ca,gpu_runtime_and_reconstruction_preparation_ms,9,36.43863565391965,1.336281893653131
darcy,0.375,ca,first_sampled_call_ms,9,37.1007008685006,1.2994186567257053
darcy,0.375,ca,graph_setup_ms,9,40.09357591470083,1.2813557546324315
darcy,0.375,ca,first_full_original_after_sampled_ms,9,26.904282470544178,0.4264111125508992
darcy,0.375,ca,first_full_fast_after_sampled_ms,9,6.5908713473214044,0.06347748330950245
darcy,0.5,uniform,adapter_increment_ms,9,0.09489556153615315,0.007490593598122292
darcy,0.5,uniform,case_preparation_ms,9,37.986062467098236,0.4590264823106616
darcy,0.5,uniform,reported_shared_input_preparation_ms,9,134.36672174268298,2.6220629564441222
darcy,0.5,uniform,gpu_runtime_and_reconstruction_preparation_ms,9,88.01283190647762,183.61730415492352
darcy,0.5,uniform,first_sampled_call_ms,9,23.043670588069492,0.2972582770605143
darcy,0.5,uniform,graph_setup_ms,9,26.202197704050278,0.3068155118099371
darcy,0.5,uniform,first_full_original_after_sampled_ms,9,3.077936669190725,0.03716904526250955
darcy,0.5,uniform,first_full_fast_after_sampled_ms,9,2.8026012910736933,0.021718400195895673
darcy,0.5,pi,adapter_increment_ms,9,0.027875105539957683,0.007058293676859168
darcy,0.5,pi,case_preparation_ms,9,37.23156617747413,0.41333203702893184
darcy,0.5,pi,reported_shared_input_preparation_ms,9,133.61346390512256,2.94424778086012
darcy,0.5,pi,gpu_runtime_and_reconstruction_preparation_ms,9,27.069796290662552,0.44577646030840207
darcy,0.5,pi,first_sampled_call_ms,9,23.0922583076689,0.3731855955650741
darcy,0.5,pi,graph_setup_ms,9,26.339564058515762,0.39371683089211906
darcy,0.5,pi,first_full_original_after_sampled_ms,9,3.140990932782491,0.020592851157901066
darcy,0.5,pi,first_full_fast_after_sampled_ms,9,2.9001525706715054,0.022155599751301512
darcy,0.5,cpg,adapter_increment_ms,9,4.780983759297265,0.9019007526341103
darcy,0.5,cpg,case_preparation_ms,9,0.12714084651735094,0.00492308792019754
darcy,0.5,cpg,reported_shared_input_preparation_ms,9,101.07470138205423,3.3505812446477883
darcy,0.5,cpg,gpu_runtime_and_reconstruction_preparation_ms,9,24.868597586949665,2.584075471201936
darcy,0.5,cpg,first_sampled_call_ms,9,48.3007464143965,0.9396651341032235
darcy,0.5,cpg,graph_setup_ms,9,51.293603248066375,0.9615553719601355
darcy,0.5,cpg,first_full_original_after_sampled_ms,9,37.47205684582392,0.5149100252618716
darcy,0.5,cpg,first_full_fast_after_sampled_ms,9,7.780287000868055,0.11305991705105439
darcy,0.5,ca,adapter_increment_ms,9,0.19179781277974448,0.011695535097937644
darcy,0.5,ca,case_preparation_ms,9,0.1057287057240804,0.005620907572153489
darcy,0.5,ca,reported_shared_input_preparation_ms,9,96.5040408902698,2.769667112877221
darcy,0.5,ca,gpu_runtime_and_reconstruction_preparation_ms,9,34.683688647217224,1.3008631603932344
darcy,0.5,ca,first_sampled_call_ms,9,37.275160352389015,0.39709593078763905
darcy,0.5,ca,graph_setup_ms,9,40.41460156440735,0.6618072383763174
darcy,0.5,ca,first_full_original_after_sampled_ms,9,36.72273622618781,0.5619313927272408
darcy,0.5,ca,first_full_fast_after_sampled_ms,9,7.094846003585392,0.4033890825813133
darcy,0.75,uniform,adapter_increment_ms,9,0.08959571520487468,0.006362754389055053
darcy,0.75,uniform,case_preparation_ms,9,59.79605846934848,1.36748075326986
darcy,0.75,uniform,reported_shared_input_preparation_ms,9,156.17446270253924,2.8920143832415324
darcy,0.75,uniform,gpu_runtime_and_reconstruction_preparation_ms,9,98.90307072136137,214.9996105424912
darcy,0.75,uniform,first_sampled_call_ms,9,24.93315190076828,0.4012282467674348
darcy,0.75,uniform,graph_setup_ms,9,28.764483829339344,0.419829761480907
darcy,0.75,uniform,first_full_original_after_sampled_ms,9,3.757619195514255,0.033128661121840625
darcy,0.75,uniform,first_full_fast_after_sampled_ms,9,3.498115473323398,0.034912222109337726
darcy,0.75,pi,adapter_increment_ms,9,0.025270713700188532,0.0005990630256969927
darcy,0.75,pi,case_preparation_ms,9,60.55153823561139,0.7514014178153184
darcy,0.75,pi,reported_shared_input_preparation_ms,9,156.92705826626883,3.0243942978800646
darcy,0.75,pi,gpu_runtime_and_reconstruction_preparation_ms,9,27.03979280259874,0.9950271037643542
darcy,0.75,pi,first_sampled_call_ms,9,25.19899109999339,0.3721617452721611
darcy,0.75,pi,graph_setup_ms,9,29.19384754366345,0.37400408737199237
darcy,0.75,pi,first_full_original_after_sampled_ms,9,3.903246588177151,0.032932468564771215
darcy,0.75,pi,first_full_fast_after_sampled_ms,9,3.640400038825141,0.021486968659531126
darcy,0.75,cpg,adapter_increment_ms,9,4.797982672850291,0.8928150520293517
darcy,0.75,cpg,case_preparation_ms,9,0.1341948906580607,0.008184194024588738
darcy,0.75,cpg,reported_shared_input_preparation_ms,9,101.09481794966592,3.323352401282134
darcy,0.75,cpg,gpu_runtime_and_reconstruction_preparation_ms,9,24.128502441777123,0.5715463504229866
darcy,0.75,cpg,first_sampled_call_ms,9,50.35325470897887,1.12006413007269
darcy,0.75,cpg,graph_setup_ms,9,53.342134588294556,1.098351663211269
darcy,0.75,cpg,first_full_original_after_sampled_ms,9,60.021361543072594,0.7458658034894387
darcy,0.75,cpg,first_full_fast_after_sampled_ms,9,8.570931024021572,0.10510734401961704
darcy,0.75,ca,adapter_increment_ms,9,0.21170824766159058,0.0314036485815968
darcy,0.75,ca,case_preparation_ms,9,0.1142281625005934,0.0027155708269425856
darcy,0.75,ca,reported_shared_input_preparation_ms,9,96.51268521944682,2.7714071104771647
darcy,0.75,ca,gpu_runtime_and_reconstruction_preparation_ms,9,35.18017133076986,0.9860692842138489
darcy,0.75,ca,first_sampled_call_ms,9,40.0321880976359,0.8811532434536756
darcy,0.75,ca,graph_setup_ms,9,43.07707730266783,0.9568944989256298
darcy,0.75,ca,first_full_original_after_sampled_ms,9,59.03918627235625,0.8077321538398758
darcy,0.75,ca,first_full_fast_after_sampled_ms,9,7.802398668395148,0.1623980566043251
darcy,1.0,full,adapter_increment_ms,3,0.1092006762822469,0.026304137712449046
darcy,1.0,full,case_preparation_ms,3,1.5291844805081685,0.3207779460796515
darcy,1.0,full,reported_shared_input_preparation_ms,3,99.22455996274948,4.150630870320932
darcy,1.0,full,gpu_runtime_and_reconstruction_preparation_ms,3,0.03732492526372274,0.003930181853390751
darcy,1.0,full,first_sampled_call_ms,3,26.034563779830933,0.3399580676623969
darcy,1.0,full,graph_setup_ms,3,22.379348675409954,0.3321139054795205
