benchmark,budget,method,mode,cases,mean_ms,case_std_ms,repeat_std_ms,repeats_per_case_min,repeats_per_case_max,paired_ratio_to_uniform_mean,paired_ratio_to_uniform_std
airfoil2d,0.5,uniform,fast,9,3.1004539794392056,0.007024939927863328,0.05264280689706623,5,5,1.0,0.0
airfoil2d,0.5,pi,sampled,9,3.193728087676896,0.030111143360081315,0.12726804617543,20,20,1.0473216886193182,0.008302020607060426
airfoil2d,0.5,pi,original,9,3.2971335781945124,0.010398962961717073,0.06830392228409753,5,5,1.038522492899637,0.001604556181166279
airfoil2d,0.5,pi,fast,9,3.215769761138492,0.005976944270991031,0.008328789554742417,5,5,1.0371961013544586,0.0022347530495760155
airfoil2d,0.5,cpg,sampled,9,5.071272369888094,0.023948863020606306,0.05228431535426823,20,20,1.663032055516316,0.0034494161544610957
airfoil2d,0.5,cpg,original,9,66.6976981692844,0.7859693523847473,0.5163787813811863,5,5,21.008011555227885,0.2140787174105089
airfoil2d,0.5,cpg,fast,9,5.785997874206966,0.010830326080234142,0.010810656972405894,5,5,1.866185514450004,0.005242993532552888
airfoil2d,0.5,ca,sampled,9,3.793328834904565,0.018962347541540806,0.04613593460930433,20,20,1.2439531847178762,0.003096158788557767
airfoil2d,0.5,ca,original,9,66.17101298438178,2.711878492157225,6.577800707121121,5,5,20.843367761188816,0.8821644769798346
airfoil2d,0.5,ca,fast,9,4.505409134758843,0.00746213826569305,0.010395081834553179,5,5,1.453149540580539,0.0031416430583598083
airfoil2d,0.75,uniform,sampled,9,4.056989442971018,0.006927802596248071,0.00952324487179403,20,20,1.0,0.0
airfoil2d,0.75,uniform,original,9,4.192214707533519,0.011356450269847208,0.06593079646141393,5,5,1.0,0.0
airfoil2d,0.75,uniform,fast,9,4.100518590874142,0.028292085571624485,0.05336948409013104,5,5,1.0,0.0
airfoil2d,0.75,pi,sampled,9,4.22358223133617,0.007007230733038846,0.012643342629924401,20,20,1.0410634329420798,0.0006886021235720011
airfoil2d,0.75,pi,original,9,4.339281552367741,0.011663527859612739,0.06593028004268733,5,5,1.035082760381627,0.002024165073545339
airfoil2d,0.75,pi,fast,9,4.258218738767836,0.04873769459674731,0.08733726878806923,5,5,1.038456692843971,0.009251443838707189
airfoil2d,0.75,cpg,sampled,9,6.120533082220289,0.00921535181954767,0.01564375212635566,20,20,1.508640543701504,0.0018092500800661318
airfoil2d,0.75,cpg,original,9,106.36989126602809,4.657166136462545,5.476340477330273,5,5,25.371853060716404,1.0709086682086095
airfoil2d,0.75,cpg,fast,9,6.81531247165468,0.07446579383956523,0.01293623983289157,5,5,1.6620203289951219,0.0070509962874720665
airfoil2d,0.75,ca,sampled,9,4.860131897860104,0.009111702615211941,0.011458626190330955,20,20,1.1979652842460224,0.0011244169740315375
airfoil2d,0.75,ca,original,9,105.89347862535053,3.8560857208380543,8.000883321412033,5,5,25.258503469991133,0.8831378314334705
airfoil2d,0.75,ca,fast,9,5.560612347390917,0.052637271734284716,0.01052308608014676,5,5,1.3560546947342782,0.0039505175067906005
airfoil2d,1.0,full,sampled,3,5.302847797671954,0.015906803031099034,0.016005357094868222,20,20,1.0,0.0
airfoil2d,1.0,full,original,3,5.302847797671954,0.015906803031099034,0.016005357094868222,20,20,1.0,0.0
airfoil2d,1.0,full,fast,3,5.302847797671954,0.015906803031099034,0.016005357094868222,20,20,1.0,0.0
shapenet_car,0.375,uniform,sampled,9,6.85584909386105,0.004118222599069275,0.013763061235875987,20,20,1.0,0.0
shapenet_car,0.375,uniform,original,9,7.023065785566966,0.03506748139588333,0.08603708743795681,5,5,1.0,0.0
